Date,Open,High,Low,Close,Volume
11-Jun-15,96.89,96.92,94.09,95.09,26623387
10-Jun-15,93.40,98.97,93.23,95.87,57121379
9-Jun-15,89.33,92.71,89.33,92.45,22025080
8-Jun-15,90.71,90.82,89.00,89.60,11148914
5-Jun-15,89.21,90.54,89.13,90.46,11624347
4-Jun-15,88.38,89.43,88.04,89.35,10074379
3-Jun-15,89.24,89.73,88.64,88.81,6237994
2-Jun-15,88.71,89.68,88.41,89.13,7528927
1-Jun-15,88.84,89.12,87.94,89.00,9925832
29-May-15,89.47,90.21,88.96,89.15,12712014
28-May-15,89.71,89.86,88.93,89.51,7821541
27-May-15,88.14,89.91,87.93,89.86,10506412
26-May-15,88.87,89.06,87.79,87.99,9645720
22-May-15,89.18,89.41,88.69,88.84,7466039
21-May-15,89.08,89.57,88.18,89.00,12767020
20-May-15,88.21,89.11,87.36,88.79,12757129
19-May-15,88.89,89.79,87.81,88.07,19101306
18-May-15,87.54,88.53,87.02,88.27,14811944
15-May-15,86.36,88.35,85.76,87.61,37053009
14-May-15,83.29,83.92,82.33,83.84,8898659
13-May-15,83.40,84.20,82.69,82.87,11155725
12-May-15,83.81,83.81,82.99,83.38,11906972
11-May-15,82.32,84.86,82.19,84.28,23882383
8-May-15,81.04,82.15,80.96,82.09,13828248
7-May-15,80.11,80.79,79.46,80.75,10220595
6-May-15,81.03,81.21,79.52,80.08,11504507
5-May-15,81.24,82.44,80.76,80.79,27116285
4-May-15,79.60,79.70,78.90,79.30,7967085
1-May-15,79.86,79.97,78.89,79.58,8906086
30-Apr-15,80.24,80.84,79.12,79.50,10565254
29-Apr-15,80.07,81.06,79.64,80.41,9540468
28-Apr-15,80.59,81.28,79.94,80.44,8826475
27-Apr-15,80.29,81.79,80.23,80.87,15247001
